progress_id,ship_no,process_code,workshop_code,period_date,plan_qty,actual_qty,complete_rate,deviation_rate,delay_days,risk_level,batch_code,quality_pass_qty,rework_qty,source_type,anomaly_flag
P0001842,H2601,AZTP,WSF,2025-03-24,17.17,16.97,0.9884,-0.0116,0,低,批次01-202503,16.72,0.25,衍生模拟,
P0001843,H2602,YCL,WSA,2025-03-24,29.02,29.38,1.0124,0.0124,0,低,批次01-202503,28.37,1.01,衍生模拟,
P0001844,H2602,YCL,WSB,2025-03-24,32.3,32.83,1.0164,0.0164,0,低,批次01-202503,31.85,0.98,衍生模拟,
P0001845,H2602,ZZTP,WSC,2025-03-24,25.85,23.67,0.9157,-0.0843,2,中,批次01-202503,23.15,0.52,衍生模拟,
P0001846,H2602,ZZTP,WSD,2025-03-24,24.06,22.28,0.926,-0.074,2,中,批次01-202503,22.14,0.14,衍生模拟,
P0001847,H2602,AZTP,WSE,2025-03-24,18.99,18.35,0.9663,-0.0337,1,低,批次01-202503,18.24,0.11,衍生模拟,
P0001848,H2602,AZTP,WSF,2025-03-24,17.71,17.06,0.9633,-0.0367,1,低,批次01-202503,16.6,0.46,衍生模拟,
P0001849,H2603,YCL,WSA,2025-03-24,30.96,28.78,0.9296,-0.0704,2,中,批次02-202503,27.91,0.87,衍生模拟,
P0001850,H2603,YCL,WSB,2025-03-24,33.15,30.83,0.93,-0.07,2,中,批次02-202503,29.78,1.05,衍生模拟,
P0001851,H2603,ZZTP,WSC,2025-03-24,23.36,24.07,1.0304,0.0304,0,低,批次02-202503,23.55,0.52,衍生模拟,
P0001852,H2603,ZZTP,WSD,2025-03-24,22.07,22.73,1.0299,0.0299,0,低,批次02-202503,22.58,0.15,衍生模拟,
P0001853,H2603,AZTP,WSE,2025-03-24,20.99,19.59,0.9333,-0.0667,2,中,批次02-202503,19.38,0.21,衍生模拟,
P0001854,H2603,AZTP,WSF,2025-03-24,16.05,15.2,0.947,-0.053,2,中,批次02-202503,14.89,0.31,衍生模拟,
P0001855,H2604,YCL,WSA,2025-03-24,34.09,33.14,0.9721,-0.0279,1,低,批次02-202503,32.13,1.01,衍生模拟,
P0001856,H2604,YCL,WSB,2025-03-24,33.24,32.4,0.9747,-0.0253,1,低,批次02-202503,31.82,0.58,衍生模拟,
P0001857,H2604,ZZTP,WSC,2025-03-24,24.81,24.16,0.9738,-0.0262,1,低,批次02-202503,23.55,0.61,衍生模拟,
P0001858,H2604,ZZTP,WSD,2025-03-24,24.18,23.38,0.9669,-0.0331,1,低,批次02-202503,23.23,0.15,衍生模拟,
P0001859,H2604,AZTP,WSE,2025-03-24,18.74,17.03,0.9088,-0.0912,2,中,批次02-202503,16.56,0.47,衍生模拟,
P0001860,H2604,AZTP,WSF,2025-03-24,18.47,16.89,0.9145,-0.0855,2,中,批次02-202503,16.75,0.14,衍生模拟,
P0001861,H2605,YCL,WSA,2025-03-24,32.77,28.84,0.8801,-0.1199,3,中,批次03-202503,28.42,0.42,衍生模拟,
P0001862,H2605,YCL,WSB,2025-03-24,37.14,32.82,0.8837,-0.1163,3,中,批次03-202503,31.89,0.93,衍生模拟,
P0001863,H2605,ZZTP,WSC,2025-03-24,27.59,24.93,0.9036,-0.0964,2,中,批次03-202503,24.4,0.53,衍生模拟,
P0001864,H2605,ZZTP,WSD,2025-03-24,25.06,22.42,0.8947,-0.1053,3,中,批次03-202503,22.06,0.36,衍生模拟,
P0001865,H2605,AZTP,WSE,2025-03-24,23.8,23.52,0.9882,-0.0118,0,低,批次03-202503,23.12,0.4,衍生模拟,
P0001866,H2605,AZTP,WSF,2025-03-24,19.73,19.28,0.9772,-0.0228,1,低,批次03-202503,18.99,0.29,衍生模拟,
P0001867,H2606,YCL,WSA,2025-03-24,36.75,35.13,0.9559,-0.0441,1,低,批次03-202503,34.63,0.5,衍生模拟,
P0001868,H2606,YCL,WSB,2025-03-24,32.42,30.97,0.9553,-0.0447,1,低,批次03-202503,30.47,0.5,衍生模拟,
P0001869,H2606,ZZTP,WSC,2025-03-24,31.04,31.19,1.0048,0.0048,0,低,批次03-202503,30.99,0.2,衍生模拟,
P0001870,H2606,ZZTP,WSD,2025-03-24,27.98,27.97,0.9996,-0.0004,0,低,批次03-202503,27.22,0.75,衍生模拟,
P0001871,H2606,AZTP,WSE,2025-03-24,20.21,20.61,1.0198,0.0198,0,低,批次03-202503,20.47,0.14,衍生模拟,
P0001872,H2606,AZTP,WSF,2025-03-24,19.66,20.13,1.0239,0.0239,0,低,批次03-202503,19.9,0.23,衍生模拟,
P0001873,H2601,YCL,WSA,2025-03-25,29.37,28,0.9534,-0.0466,1,低,批次01-202503,27.35,0.65,衍生模拟,
P0001874,H2601,YCL,WSB,2025-03-25,26.3,25.02,0.9513,-0.0487,1,低,批次01-202503,24.82,0.2,衍生模拟,
P0001875,H2601,ZZTP,WSC,2025-03-25,24.68,22.55,0.9137,-0.0863,2,中,批次01-202503,21.95,0.6,衍生模拟,
P0001876,H2601,ZZTP,WSD,2025-03-25,21.26,19.5,0.9172,-0.0828,2,中,批次01-202503,19.04,0.46,衍生模拟,
P0001877,H2601,AZTP,WSE,2025-03-25,17.64,17.33,0.9824,-0.0176,0,低,批次01-202503,16.84,0.49,衍生模拟,
P0001878,H2601,AZTP,WSF,2025-03-25,17.83,17.55,0.9843,-0.0157,0,低,批次01-202503,17.13,0.42,衍生模拟,
P0001879,H2602,YCL,WSA,2025-03-25,33.81,34.39,1.0172,0.0172,0,低,批次01-202503,33.38,1.01,衍生模拟,
P0001880,H2602,YCL,WSB,2025-03-25,25.99,26.33,1.0131,0.0131,0,低,批次01-202503,26.15,0.18,衍生模拟,
P0001881,H2602,ZZTP,WSC,2025-03-25,23.1,21.09,0.913,-0.087,2,中,批次01-202503,20.54,0.55,衍生模拟,
P0001882,H2602,ZZTP,WSD,2025-03-25,20.11,18.6,0.9249,-0.0751,2,中,批次01-202503,18.04,0.56,衍生模拟,
P0001883,H2602,AZTP,WSE,2025-03-25,20.29,19.75,0.9734,-0.0266,1,低,批次01-202503,19.07,0.68,衍生模拟,
P0001884,H2602,AZTP,WSF,2025-03-25,15.4,15,0.974,-0.026,1,低,批次01-202503,14.55,0.45,衍生模拟,
P0001885,H2603,YCL,WSA,2025-03-25,29.62,27.41,0.9254,-0.0746,2,中,批次02-202503,27.13,0.28,衍生模拟,
P0001886,H2603,YCL,WSB,2025-03-25,31.16,28.99,0.9304,-0.0696,2,中,批次02-202503,28.69,0.3,衍生模拟,
P0001887,H2603,ZZTP,WSC,2025-03-25,23.47,24.17,1.0298,0.0298,0,低,批次02-202503,23.6,0.57,衍生模拟,
P0001888,H2603,ZZTP,WSD,2025-03-25,21.98,22.63,1.0296,0.0296,0,低,批次02-202503,21.89,0.74,衍生模拟,
P0001889,H2603,AZTP,WSE,2025-03-25,17.98,16.86,0.9377,-0.0623,2,中,批次02-202503,16.67,0.19,衍生模拟,
P0001890,H2603,AZTP,WSF,2025-03-25,19.47,18.42,0.9461,-0.0539,2,中,批次02-202503,18.03,0.39,衍生模拟,
P0001891,H2604,YCL,WSA,2025-03-25,39.15,37.8,0.9655,-0.0345,1,低,批次02-202503,36.96,0.84,衍生模拟,
P0001892,H2604,YCL,WSB,2025-03-25,31.06,30.25,0.9739,-0.0261,1,低,批次02-202503,30.1,0.15,衍生模拟,
P0001893,H2604,ZZTP,WSC,2025-03-25,29.18,28.45,0.975,-0.025,1,低,批次02-202503,28.28,0.17,衍生模拟,
P0001894,H2604,ZZTP,WSD,2025-03-25,25.22,24.29,0.9631,-0.0369,1,低,批次02-202503,24.12,0.17,衍生模拟,
P0001895,H2604,AZTP,WSE,2025-03-25,23.07,21.4,0.9276,-0.0724,2,中,批次02-202503,20.68,0.72,衍生模拟,
P0001896,H2604,AZTP,WSF,2025-03-25,18.11,16.61,0.9172,-0.0828,2,中,批次02-202503,16.3,0.31,衍生模拟,
P0001897,H2605,YCL,WSA,2025-03-25,34.47,30.56,0.8866,-0.1134,3,中,批次03-202503,30.24,0.32,衍生模拟,
P0001898,H2605,YCL,WSB,2025-03-25,32.91,29.18,0.8867,-0.1133,3,中,批次03-202503,28.22,0.96,衍生模拟,
P0001899,H2605,ZZTP,WSC,2025-03-25,23.74,21.02,0.8854,-0.1146,3,中,批次03-202503,20.37,0.65,衍生模拟,
P0001900,H2605,ZZTP,WSD,2025-03-25,26.73,23.97,0.8967,-0.1033,3,中,批次03-202503,23.25,0.72,衍生模拟,
P0001901,H2605,AZTP,WSE,2025-03-25,21.9,21.37,0.9758,-0.0242,1,低,批次03-202503,21.17,0.2,衍生模拟,
P0001902,H2605,AZTP,WSF,2025-03-25,19.09,18.64,0.9764,-0.0236,1,低,批次03-202503,18.23,0.41,衍生模拟,
P0001903,H2606,YCL,WSA,2025-03-25,39.37,37.57,0.9543,-0.0457,1,低,批次03-202503,36.74,0.83,衍生模拟,
P0001904,H2606,YCL,WSB,2025-03-25,33.43,32.07,0.9593,-0.0407,1,低,批次03-202503,31.4,0.67,衍生模拟,
P0001905,H2606,ZZTP,WSC,2025-03-25,27.04,26.91,0.9952,-0.0048,0,低,批次03-202503,26.74,0.17,衍生模拟,
P0001906,H2606,ZZTP,WSD,2025-03-25,22.4,22.2,0.9911,-0.0089,0,低,批次03-202503,21.7,0.5,衍生模拟,
P0001907,H2606,AZTP,WSE,2025-03-25,21.46,21.93,1.0219,0.0219,0,低,批次03-202503,21.35,0.58,衍生模拟,
P0001908,H2606,AZTP,WSF,2025-03-25,21.06,21.55,1.0233,0.0233,0,低,批次03-202503,21.08,0.47,衍生模拟,
P0001909,H2601,YCL,WSA,2025-03-26,32.1,30.32,0.9445,-0.0555,2,中,批次01-202503,29.79,0.53,衍生模拟,
P0001910,H2601,YCL,WSB,2025-03-26,28.33,27.23,0.9612,-0.0388,1,低,批次01-202503,26.93,0.3,衍生模拟,
P0001911,H2601,ZZTP,WSC,2025-03-26,22.64,20.72,0.9152,-0.0848,2,中,批次01-202503,20.57,0.15,衍生模拟,
P0001912,H2601,ZZTP,WSD,2025-03-26,21.65,19.65,0.9076,-0.0924,2,中,批次01-202503,19.07,0.58,衍生模拟,
P0001913,H2601,AZTP,WSE,2025-03-26,18.41,18.12,0.9842,-0.0158,0,低,批次01-202503,17.62,0.5,衍生模拟,
P0001914,H2601,AZTP,WSF,2025-03-26,18.22,18.1,0.9934,-0.0066,0,低,批次01-202503,17.52,0.58,衍生模拟,
P0001915,H2602,YCL,WSA,2025-03-26,34.35,34.56,1.0061,0.0061,0,低,批次01-202503,34.14,0.42,衍生模拟,
P0001916,H2602,YCL,WSB,2025-03-26,29.93,30.38,1.015,0.015,0,低,批次01-202503,29.8,0.58,衍生模拟,
P0001917,H2602,ZZTP,WSC,2025-03-26,23.63,21.62,0.9149,-0.0851,2,中,批次01-202503,20.9,0.72,衍生模拟,
P0001918,H2602,ZZTP,WSD,2025-03-26,19.09,17.72,0.9282,-0.0718,2,中,批次01-202503,17.51,0.21,衍生模拟,
P0001919,H2602,AZTP,WSE,2025-03-26,20.12,19.49,0.9687,-0.0313,1,低,批次01-202503,18.9,0.59,衍生模拟,
P0001920,H2602,AZTP,WSF,2025-03-26,16.98,16.48,0.9706,-0.0294,1,低,批次01-202503,16.37,0.11,衍生模拟,
P0001921,H2603,YCL,WSA,2025-03-26,30.38,27.9,0.9184,-0.0816,2,中,批次02-202503,27.02,0.88,衍生模拟,
P0001922,H2603,YCL,WSB,2025-03-26,32.64,30.61,0.9378,-0.0622,2,中,批次02-202503,29.65,0.96,衍生模拟,
P0001923,H2603,ZZTP,WSC,2025-03-26,22.41,23.09,1.0303,0.0303,0,低,批次02-202503,22.88,0.21,衍生模拟,
P0001924,H2603,ZZTP,WSD,2025-03-26,25.21,25.97,1.0301,0.0301,0,低,批次02-202503,25.71,0.26,衍生模拟,
P0001925,H2603,AZTP,WSE,2025-03-26,22.08,20.71,0.938,-0.062,2,中,批次02-202503,20.23,0.48,衍生模拟,
P0001926,H2603,AZTP,WSF,2025-03-26,16.48,15.42,0.9357,-0.0643,2,中,批次02-202503,15.14,0.28,衍生模拟,
P0001927,H2604,YCL,WSA,2025-03-26,36.61,35.51,0.97,-0.03,1,低,批次02-202503,34.55,0.96,衍生模拟,
P0001928,H2604,YCL,WSB,2025-03-26,27.77,26.98,0.9716,-0.0284,1,低,批次02-202503,26.51,0.47,衍生模拟,
P0001929,H2604,ZZTP,WSC,2025-03-26,29.13,28.14,0.966,-0.034,1,低,批次02-202503,27.5,0.64,衍生模拟,
P0001930,H2604,ZZTP,WSD,2025-03-26,23.37,22.8,0.9756,-0.0244,1,低,批次02-202503,22.07,0.73,衍生模拟,
P0001931,H2604,AZTP,WSE,2025-03-26,20.05,18.5,0.9227,-0.0773,2,中,批次02-202503,18.11,0.39,衍生模拟,
P0001932,H2604,AZTP,WSF,2025-03-26,18.07,16.65,0.9214,-0.0786,2,中,批次02-202503,16.1,0.55,衍生模拟,
P0001933,H2605,YCL,WSA,2025-03-26,36.89,32.71,0.8867,-0.1133,3,中,批次03-202503,31.72,0.99,衍生模拟,
P0001934,H2605,YCL,WSB,2025-03-26,35.23,31.05,0.8814,-0.1186,3,中,批次03-202503,30.29,0.76,衍生模拟,
P0001935,H2605,ZZTP,WSC,2025-03-26,30.59,27.15,0.8875,-0.1125,3,中,批次03-202503,26.35,0.8,衍生模拟,
P0001936,H2605,ZZTP,WSD,2025-03-26,23.55,21,0.8917,-0.1083,3,中,批次03-202503,20.39,0.61,衍生模拟,
P0001937,H2605,AZTP,WSE,2025-03-26,18.87,18.57,0.9841,-0.0159,0,低,批次03-202503,18.2,0.37,衍生模拟,
P0001938,H2605,AZTP,WSF,2025-03-26,18.99,18.81,0.9905,-0.0095,0,低,批次03-202503,18.59,0.22,衍生模拟,
P0001939,H2606,YCL,WSA,2025-03-26,32.96,31.17,0.9457,-0.0543,2,中,批次03-202503,30.23,0.94,衍生模拟,
P0001940,H2606,YCL,WSB,2025-03-26,38.47,36.28,0.9431,-0.0569,2,中,批次03-202503,35.98,0.3,衍生模拟,
P0001941,H2606,ZZTP,WSC,2025-03-26,30.68,30.36,0.9896,-0.0104,0,低,批次03-202503,29.81,0.55,衍生模拟,
P0001942,H2606,ZZTP,WSD,2025-03-26,22.59,22.47,0.9947,-0.0053,0,低,批次03-202503,21.97,0.5,衍生模拟,
P0001943,H2606,AZTP,WSE,2025-03-26,21.91,22.52,1.0278,0.0278,0,低,批次03-202503,22.14,0.38,衍生模拟,
P0001944,H2606,AZTP,WSF,2025-03-26,22.66,22.95,1.0128,0.0128,0,低,批次03-202503,22.25,0.7,衍生模拟,
P0001945,H2601,YCL,WSA,2025-03-27,29.17,27.61,0.9465,-0.0535,2,中,批次01-202503,27.13,0.48,衍生模拟,
P0001946,H2601,YCL,WSB,2025-03-27,27.62,26.28,0.9515,-0.0485,1,低,批次01-202503,26.07,0.21,衍生模拟,
P0001947,H2601,ZZTP,WSC,2025-03-27,25.22,22.68,0.8993,-0.1007,3,中,批次01-202503,22.19,0.49,衍生模拟,
P0001948,H2601,ZZTP,WSD,2025-03-27,21.22,19.28,0.9086,-0.0914,2,中,批次01-202503,18.93,0.35,衍生模拟,
P0001949,H2601,AZTP,WSE,2025-03-27,18.77,18.59,0.9904,-0.0096,0,低,批次01-202503,18.16,0.43,衍生模拟,
P0001950,H2601,AZTP,WSF,2025-03-27,15.16,14.97,0.9875,-0.0125,0,低,批次01-202503,14.59,0.38,衍生模拟,
P0001951,H2602,YCL,WSA,2025-03-27,34.44,34.73,1.0084,0.0084,0,低,批次01-202503,34.31,0.42,衍生模拟,
P0001952,H2602,YCL,WSB,2025-03-27,33.37,34.01,1.0192,0.0192,0,低,批次01-202503,33.32,0.69,衍生模拟,
P0001953,H2602,ZZTP,WSC,2025-03-27,21.59,20.02,0.9273,-0.0727,2,中,批次01-202503,19.92,0.1,衍生模拟,
P0001954,H2602,ZZTP,WSD,2025-03-27,23.87,21.89,0.9171,-0.0829,2,中,批次01-202503,21.33,0.56,衍生模拟,
P0001955,H2602,AZTP,WSE,2025-03-27,20.21,19.81,0.9802,-0.0198,0,低,批次01-202503,19.24,0.57,衍生模拟,
P0001956,H2602,AZTP,WSF,2025-03-27,17.37,16.97,0.977,-0.023,1,低,批次01-202503,16.53,0.44,衍生模拟,
P0001957,H2603,YCL,WSA,2025-03-27,29.43,27.42,0.9317,-0.0683,2,中,批次02-202503,26.98,0.44,衍生模拟,
P0001958,H2603,YCL,WSB,2025-03-27,33.93,31.55,0.9299,-0.0701,2,中,批次02-202503,30.88,0.67,衍生模拟,
P0001959,H2603,ZZTP,WSC,2025-03-27,24.02,24.74,1.03,0.03,0,低,批次02-202503,23.97,0.77,衍生模拟,
P0001960,H2603,ZZTP,WSD,2025-03-27,24.69,25.43,1.03,0.03,0,低,批次02-202503,24.9,0.53,衍生模拟,
P0001961,H2603,AZTP,WSE,2025-03-27,20.18,19.14,0.9485,-0.0515,2,中,批次02-202503,18.67,0.47,衍生模拟,
P0001962,H2603,AZTP,WSF,2025-03-27,18.72,17.79,0.9503,-0.0497,1,低,批次02-202503,17.5,0.29,衍生模拟,
P0001963,H2604,YCL,WSA,2025-03-27,35.01,33.76,0.9643,-0.0357,1,低,批次02-202503,33.52,0.24,衍生模拟,
P0001964,H2604,YCL,WSB,2025-03-27,33.66,32.34,0.9608,-0.0392,1,低,批次02-202503,31.59,0.75,衍生模拟,
P0001965,H2604,ZZTP,WSC,2025-03-27,26.96,26.5,0.9829,-0.0171,0,低,批次02-202503,25.74,0.76,衍生模拟,
P0001966,H2604,ZZTP,WSD,2025-03-27,24.98,24.09,0.9644,-0.0356,1,低,批次02-202503,23.53,0.56,衍生模拟,
P0001967,H2604,AZTP,WSE,2025-03-27,21.34,19.4,0.9091,-0.0909,2,中,批次02-202503,18.85,0.55,衍生模拟,
P0001968,H2604,AZTP,WSF,2025-03-27,21.48,19.74,0.919,-0.081,2,中,批次02-202503,19.24,0.5,衍生模拟,
P0001969,H2605,YCL,WSA,2025-03-27,33.66,29.75,0.8838,-0.1162,3,中,批次03-202503,29.19,0.56,衍生模拟,
P0001970,H2605,YCL,WSB,2025-03-27,33.77,29.97,0.8875,-0.1125,3,中,批次03-202503,29.11,0.86,衍生模拟,
P0001971,H2605,ZZTP,WSC,2025-03-27,28.9,25.82,0.8934,-0.1066,3,中,批次03-202503,25.08,0.74,衍生模拟,
P0001972,H2605,ZZTP,WSD,2025-03-27,26.86,23.79,0.8857,-0.1143,3,中,批次03-202503,23.36,0.43,衍生模拟,
P0001973,H2605,AZTP,WSE,2025-03-27,20.19,19.98,0.9896,-0.0104,0,低,批次03-202503,19.87,0.11,衍生模拟,
P0001974,H2605,AZTP,WSF,2025-03-27,20.94,20.49,0.9785,-0.0215,1,低,批次03-202503,20.18,0.31,衍生模拟,
P0001975,H2606,YCL,WSA,2025-03-27,39.59,37.33,0.9429,-0.0571,2,中,批次03-202503,37.11,0.22,衍生模拟,
P0001976,H2606,YCL,WSB,2025-03-27,31.87,30.23,0.9485,-0.0515,2,中,批次03-202503,29.86,0.37,衍生模拟,
P0001977,H2606,ZZTP,WSC,2025-03-27,27.71,27.78,1.0025,0.0025,0,低,批次03-202503,27.48,0.3,衍生模拟,
P0001978,H2606,ZZTP,WSD,2025-03-27,23.11,23.15,1.0017,0.0017,0,低,批次03-202503,22.91,0.24,衍生模拟,
P0001979,H2606,AZTP,WSE,2025-03-27,24.48,25.02,1.0221,0.0221,0,低,批次03-202503,24.53,0.49,衍生模拟,
P0001980,H2606,AZTP,WSF,2025-03-27,18.4,18.7,1.0163,0.0163,0,低,批次03-202503,18.53,0.17,衍生模拟,
P0001981,H2601,YCL,WSA,2025-03-28,29.66,28.54,0.9622,-0.0378,1,低,批次01-202503,27.85,0.69,衍生模拟,
P0001982,H2601,YCL,WSB,2025-03-28,29.24,27.88,0.9535,-0.0465,1,低,批次01-202503,27,0.88,衍生模拟,
P0001983,H2601,ZZTP,WSC,2025-03-28,20.61,18.89,0.9165,-0.0835,2,中,批次01-202503,18.76,0.13,衍生模拟,
P0001984,H2601,ZZTP,WSD,2025-03-28,22.38,20.51,0.9164,-0.0836,2,中,批次01-202503,19.94,0.57,衍生模拟,
P0001985,H2601,AZTP,WSE,2025-03-28,20.03,19.64,0.9805,-0.0195,0,低,批次01-202503,19.37,0.27,衍生模拟,
P0001986,H2601,AZTP,WSF,2025-03-28,16,15.7,0.9813,-0.0187,0,低,批次01-202503,15.24,0.46,衍生模拟,
P0001987,H2602,YCL,WSA,2025-03-28,32.61,33.04,1.0132,0.0132,0,低,批次01-202503,32.14,0.9,衍生模拟,
P0001988,H2602,YCL,WSB,2025-03-28,26.2,26.62,1.016,0.016,0,低,批次01-202503,26.2,0.42,衍生模拟,
P0001989,H2602,ZZTP,WSC,2025-03-28,20.32,18.78,0.9242,-0.0758,2,中,批次01-202503,18.19,0.59,衍生模拟,
P0001990,H2602,ZZTP,WSD,2025-03-28,24.74,22.72,0.9184,-0.0816,2,中,批次01-202503,21.98,0.74,衍生模拟,
P0001991,H2602,AZTP,WSE,2025-03-28,19.8,19.22,0.9707,-0.0293,1,低,批次01-202503,18.61,0.61,衍生模拟,
P0001992,H2602,AZTP,WSF,2025-03-28,18.68,18.1,0.969,-0.031,1,低,批次01-202503,17.76,0.34,衍生模拟,
P0001993,H2603,YCL,WSA,2025-03-28,34.32,31.91,0.9298,-0.0702,2,中,批次02-202503,31.35,0.56,衍生模拟,
P0001994,H2603,YCL,WSB,2025-03-28,32.95,30.87,0.9369,-0.0631,2,中,批次02-202503,30.25,0.62,衍生模拟,
P0001995,H2603,ZZTP,WSC,2025-03-28,27.6,28.42,1.0297,0.0297,0,低,批次02-202503,28,0.42,衍生模拟,
P0001996,H2603,ZZTP,WSD,2025-03-28,21.05,21.68,1.0299,0.0299,0,低,批次02-202503,21.34,0.34,衍生模拟,
P0001997,H2603,AZTP,WSE,2025-03-28,17.12,16.12,0.9416,-0.0584,2,中,批次02-202503,15.77,0.35,衍生模拟,
P0001998,H2603,AZTP,WSF,2025-03-28,18.02,16.81,0.9329,-0.0671,2,中,批次02-202503,16.36,0.45,衍生模拟,
P0001999,H2604,YCL,WSA,2025-03-28,31.06,29.95,0.9643,-0.0357,1,低,批次02-202503,29.3,0.65,衍生模拟,
P0002000,H2604,YCL,WSB,2025-03-28,34.12,33.28,0.9754,-0.0246,1,低,批次02-202503,33.08,0.2,衍生模拟,
P0002001,H2604,ZZTP,WSC,2025-03-28,27.57,26.64,0.9663,-0.0337,1,低,批次02-202503,25.75,0.89,衍生模拟,
P0002002,H2604,ZZTP,WSD,2025-03-28,23.53,23.13,0.983,-0.017,0,低,批次02-202503,22.69,0.44,衍生模拟,
P0002003,H2604,AZTP,WSE,2025-03-28,19.59,17.95,0.9163,-0.0837,2,中,批次02-202503,17.34,0.61,衍生模拟,
P0002004,H2604,AZTP,WSF,2025-03-28,21.22,19.34,0.9114,-0.0886,2,中,批次02-202503,19.01,0.33,衍生模拟,
P0002005,H2605,YCL,WSA,2025-03-28,34.78,30.74,0.8838,-0.1162,3,中,批次03-202503,30.57,0.17,衍生模拟,
P0002006,H2605,YCL,WSB,2025-03-28,31.42,27.65,0.88,-0.12,3,中,批次03-202503,27.19,0.46,衍生模拟,
P0002007,H2605,ZZTP,WSC,2025-03-28,24.41,21.81,0.8935,-0.1065,3,中,批次03-202503,21.06,0.75,衍生模拟,
P0002008,H2605,ZZTP,WSD,2025-03-28,26.5,23.56,0.8891,-0.1109,3,中,批次03-202503,23.2,0.36,衍生模拟,
P0002009,H2605,AZTP,WSE,2025-03-28,23.51,23.24,0.9885,-0.0115,0,低,批次03-202503,22.67,0.57,衍生模拟,
P0002010,H2605,AZTP,WSF,2025-03-28,19.28,19.03,0.987,-0.013,0,低,批次03-202503,18.37,0.66,衍生模拟,
P0002011,H2606,YCL,WSA,2025-03-28,33.69,31.99,0.9495,-0.0505,2,中,批次03-202503,31.77,0.22,衍生模拟,
P0002012,H2606,YCL,WSB,2025-03-28,36.49,34.6,0.9482,-0.0518,2,中,批次03-202503,33.44,1.16,衍生模拟,
P0002013,H2606,ZZTP,WSC,2025-03-28,30.83,30.52,0.9899,-0.0101,0,低,批次03-202503,29.81,0.71,衍生模拟,
P0002014,H2606,ZZTP,WSD,2025-03-28,26.02,25.73,0.9889,-0.0111,0,低,批次03-202503,25.43,0.3,衍生模拟,
P0002015,H2606,AZTP,WSE,2025-03-28,19.94,20.49,1.0276,0.0276,0,低,批次03-202503,20.23,0.26,衍生模拟,
P0002016,H2606,AZTP,WSF,2025-03-28,18.96,19.23,1.0142,0.0142,0,低,批次03-202503,18.99,0.24,衍生模拟,
P0002017,H2601,YCL,WSA,2025-03-29,26.21,24.73,0.9435,-0.0565,2,中,批次01-202503,24.49,0.24,衍生模拟,
P0002018,H2601,YCL,WSB,2025-03-29,27.26,25.81,0.9468,-0.0532,2,中,批次01-202503,25.12,0.69,衍生模拟,
P0002019,H2601,ZZTP,WSC,2025-03-29,25.14,23.06,0.9173,-0.0827,2,中,批次01-202503,22.82,0.24,衍生模拟,
P0002020,H2601,ZZTP,WSD,2025-03-29,21.24,19.27,0.9073,-0.0927,2,中,批次01-202503,19.14,0.13,衍生模拟,
P0002021,H2601,AZTP,WSE,2025-03-29,19.56,19.46,0.9949,-0.0051,0,低,批次01-202503,19.14,0.32,衍生模拟,
P0002022,H2601,AZTP,WSF,2025-03-29,15.78,15.6,0.9886,-0.0114,0,低,批次01-202503,15.43,0.17,衍生模拟,
P0002023,H2602,YCL,WSA,2025-03-29,29.24,29.6,1.0123,0.0123,0,低,批次01-202503,29.08,0.52,衍生模拟,
P0002024,H2602,YCL,WSB,2025-03-29,25.4,26,1.0236,0.0236,0,低,批次01-202503,25.3,0.7,衍生模拟,
P0002025,H2602,ZZTP,WSC,2025-03-29,21,19.2,0.9143,-0.0857,2,中,批次01-202503,19,0.2,衍生模拟,
P0002026,H2602,ZZTP,WSD,2025-03-29,24.74,22.71,0.9179,-0.0821,2,中,批次01-202503,22.1,0.61,衍生模拟,
P0002027,H2602,AZTP,WSE,2025-03-29,21.13,20.37,0.964,-0.036,1,低,批次01-202503,19.83,0.54,衍生模拟,
P0002028,H2602,AZTP,WSF,2025-03-29,17.77,17.18,0.9668,-0.0332,1,低,批次01-202503,17.03,0.15,衍生模拟,
P0002029,H2603,YCL,WSA,2025-03-29,31.01,28.89,0.9316,-0.0684,2,中,批次02-202503,28.27,0.62,衍生模拟,
P0002030,H2603,YCL,WSB,2025-03-29,30.37,27.9,0.9187,-0.0813,2,中,批次02-202503,27.07,0.83,衍生模拟,
P0002031,H2603,ZZTP,WSC,2025-03-29,25.42,26.18,1.0299,0.0299,0,低,批次02-202503,25.73,0.45,衍生模拟,
P0002032,H2603,ZZTP,WSD,2025-03-29,25.88,26.65,1.0298,0.0298,0,低,批次02-202503,26.42,0.23,衍生模拟,
P0002033,H2603,AZTP,WSE,2025-03-29,17.84,16.94,0.9496,-0.0504,2,中,批次02-202503,16.61,0.33,衍生模拟,
P0002034,H2603,AZTP,WSF,2025-03-29,17.63,16.45,0.9331,-0.0669,2,中,批次02-202503,16.13,0.32,衍生模拟,
P0002035,H2604,YCL,WSA,2025-03-29,30.57,29.52,0.9657,-0.0343,1,低,批次02-202503,29.26,0.26,衍生模拟,
P0002036,H2604,YCL,WSB,2025-03-29,31.95,30.79,0.9637,-0.0363,1,低,批次02-202503,29.99,0.8,衍生模拟,
P0002037,H2604,ZZTP,WSC,2025-03-29,23.87,23.02,0.9644,-0.0356,1,低,批次02-202503,22.82,0.2,衍生模拟,
P0002038,H2604,ZZTP,WSD,2025-03-29,20.81,20.05,0.9635,-0.0365,1,低,批次02-202503,19.49,0.56,衍生模拟,
